ID,Name,Content,Event,Skip
1,Narrator,"당신의 증거에 반박하지 못한 김예나 씨는 자신의 죄를 자백했다.",1,0
2,Narrator,"명확한 이메일 교신 기록과 은행 계좌 이체 내역이 완벽히 일치하자 그녀는 더 이상 부인할 수 없는 현실을 마주했다.떨리는 목소리로 자신의 죄를 고백하며 눈가에 눈물이 맺혔다.",1,0
3,Narrator,"피해자의 내연녀였던 그녀는 처음에는 탐욕에 이끌려 피해자와 가까워졌다고 진술했다. 그러나 점차 민병관 씨의 잦은 폭언과 신체적 위협에 시달리며 극도의 불안과 공포를 느꼈다고 설명했다.",2,0
4,Narrator,"심문 중 김예나 씨는 결국 민병관 씨의 지속적인 폭력과 협박에 못 이겨 청부업자를 고용해 살해했다고 털어놓았다. 이는 단순 금전적 이익을 넘어 생존을 위한 필사적 선택이었다고 주장했다.",2,0
5,Narrator,"김예나 씨는 법정에서 '이대로는 살아남을 수 없다'는 공포감이 재산 탐욕과 결합해 범죄를 결심하게 만들었다고 진술했다. 이는 단순 이익 추구를 넘어선 복합적 동기임이 분명했다.",2,0
6,Narrator,"범행 방법은 치밀하고 계획적이었다. 김예나 씨는 전문 청부업체에 거액을 이체하고, 특정 날짜와 시간을 지정해 살인을 의뢰했다. 이를 뒷받침하는 디지털 계약서 사본과 지시 메시지가 모두 확보되었다.",3,0
7,Narrator,"청부업자는 피해자 자택을 우회해 내부로 잠입했다. 흉기를 사용한 일격은 치명적이었고, 현장에는 일부러 남겨진 유류품만이 단서를 제공했다.",3,0
8,Narrator,"그녀는 청부업자가 민병관 씨를 흉기로 찌르는 소리를 들었다고 진술했다. 공포에 질린 채 현장에 머물지 못하고 집을 빠져나왔다고 말했다.",3,0
9,Narrator,"며칠 후 이경숙 씨의 신고로 민병관 씨의 시신이 발견되었다.",4,0
10,Narrator,"범행 후 김예나 씨는 사용된 흉기를 폐기장에 유기하도록 지시하여 증거를 은폐했으나, 남은 증거가 법의학자의 감식을 통해 포착되었다.",4,0
11,Narrator,"추가 조사로 김예나 씨씨의 스마트폰에서 청부업체와 주고받은 암호화 메시지가 복원되었다. 이는 범행 지시 과정을 구체적으로 입증하는 결정적 증거로 활용되었다.",4,0
12,Narrator,"동시에, 이경숙 씨는 피해자의 와인에 독극물을 투여하려 한 증거가 확보되었다.",5,0
13,Narrator,"피해자의 와인잔에서 치명적 독극물 성분이 검출되었다. 청부살인과 거의 동시에 이루어진 이경숙 씨의 독살 시도는 사건을 더욱 복잡하게 만들었다.",5,0
14,Narrator,"법정에서는 이경숙 씨의 독극물 관련 증거도 함께 심리되기로 결정되었다. 두 용의자의 혐의가 병합 심리되며 사건은 복합적인 사건으로 기록되었다.",5,0
15,Narrator,"김예나 씨는 마지막 변론에서 "절박함이 날 이끌었다"고 호소했지만, 법정은 그녀의 치밀한 계획성과 실행 의도를 중시하며 유죄를 인정했다.",6,0
16,Narrator,"판결문에는 '치밀한 사전 계획 및 실행 의도'라는 표현이 명시되었고, 검찰은 징역을 구형했다.",6,0
17,Narrator,"법원은 김예나 씨에게 징역을 선고하고 교도소 이송을 명령했다. 그녀는 차가운 수갑을 찬 채 법정을 떠났으며, 마지막으로 뒤를 돌아보지 않았다.",6,0
18,Narrator,"당신은 사건을 해결했다. 비록 마음 한편에는 씁쓸함이 남았지만, 당신의 추리로 정의가 실현되었다.",7,0
19,System,"엔딩 1: 범인 김예나",7,0
